MAE,MSE,RMSE
100.0,100.0,100.0
0.14826043144715487,0.031143669907260255,0.17621308760056412
0.004520189540857429,0.0034451594001085784,0.00967229018957079
0.1398148148148149,0.025001851851851872,0.15811973896971837
0.14252609769000182,0.027410376256392192,0.1655607899436169
0.1452520604395605,0.02862209762387588,0.16918066329227271
0.14741883116883125,0.03075416666666669,0.17536865620091607
0.15158878504672904,0.03343891509433964,0.1828631026607705
0.1541585763293311,0.03554485981308413,0.18853344481307324
0.16064814814814823,0.04050849056603775,0.20126721185040983
